location,row,col,plot_id,variety,yield
Manitoba,1,1,1,Variety_1,126.40232103995685
Manitoba,1,2,2,Variety_4,172.84033246838098
Manitoba,1,3,3,Variety_3,45.20867044785072
Manitoba,1,4,4,Variety_3,158.51877503240124
Manitoba,1,5,5,Variety_4,165.97066844354754
Manitoba,1,6,6,Variety_5,146.8603801194453
Manitoba,1,7,7,Variety_2,214.48908937106432
Manitoba,1,8,8,Variety_2,85.20634045247398
Manitoba,1,9,9,Variety_3,153.82487916731492
Manitoba,1,10,10,Variety_4,175.12685246930494
Manitoba,2,1,11,Variety_1,181.2941682273578
Manitoba,2,2,12,Variety_4,201.63883227013352
Manitoba,2,3,13,Variety_1,252.82027059446685
Manitoba,2,4,14,Variety_2,240.27229919855634
Manitoba,2,5,15,Variety_1,191.69429596375016
Manitoba,2,6,16,Variety_1,186.98056986180538
Manitoba,2,7,17,Variety_5,118.79005834550458
Manitoba,2,8,18,Variety_1,118.19612717952639
Manitoba,2,9,19,Variety_3,157.92546424124103
Manitoba,2,10,20,Variety_4,119.84702908757245
Manitoba,3,1,21,Variety_4,229.9828436848564
Manitoba,3,2,22,Variety_2,70.6595333748982
Manitoba,3,3,23,Variety_5,118.07656909108016
Manitoba,3,4,24,Variety_2,142.4912486371436
Manitoba,3,5,25,Variety_2,120.37592145348496
Manitoba,3,6,26,Variety_3,243.1008489080471
Manitoba,3,7,27,Variety_1,172.18023419976916
Manitoba,3,8,28,Variety_2,141.56339148280824
Manitoba,3,9,29,Variety_2,99.32010676029589
Manitoba,3,10,30,Variety_5,185.50566379848988
Manitoba,4,1,31,Variety_4,153.48114509957983
Manitoba,4,2,32,Variety_4,138.63286983824227
Manitoba,4,3,33,Variety_2,159.5208041346313
Manitoba,4,4,34,Variety_1,189.22279999504414
Manitoba,4,5,35,Variety_5,131.22304510711385
Manitoba,4,6,36,Variety_2,234.90232431424272
Manitoba,4,7,37,Variety_4,95.13618015852178
Manitoba,4,8,38,Variety_2,156.7564691176284
Manitoba,4,9,39,Variety_1,165.80878175062026
Manitoba,4,10,40,Variety_4,161.11816762599602
Manitoba,5,1,41,Variety_2,275.1539507845447
Manitoba,5,2,42,Variety_4,209.80767068310996
Manitoba,5,3,43,Variety_3,77.18321799085227
Manitoba,5,4,44,Variety_3,121.57306028772928
Manitoba,5,5,45,Variety_4,219.63253899996786
Manitoba,5,6,46,Variety_3,126.0732934442321
Manitoba,5,7,47,Variety_1,177.77400014209147
Manitoba,5,8,48,Variety_5,212.55959606168133
Manitoba,5,9,49,Variety_5,202.9638737599606
Manitoba,5,10,50,Variety_1,147.2412079254557
Manitoba,6,1,51,Variety_2,71.35251820086498
Manitoba,6,2,52,Variety_5,165.66505633260442
Manitoba,6,3,53,Variety_4,42.683961427861824
Manitoba,6,4,54,Variety_5,114.36632703730768
Manitoba,6,5,55,Variety_2,199.8660238805463
Manitoba,6,6,56,Variety_5,230.64035833092566
Manitoba,6,7,57,Variety_4,116.9385340920575
Manitoba,6,8,58,Variety_3,110.67592161678823
Manitoba,6,9,59,Variety_1,-28.281269290819413
Manitoba,6,10,60,Variety_1,105.81162377366937
Manitoba,7,1,61,Variety_3,169.14587719929978
Manitoba,7,2,62,Variety_5,226.69879212553775
Manitoba,7,3,63,Variety_5,160.1251452966892
Manitoba,7,4,64,Variety_3,204.31276256085616
Manitoba,7,5,65,Variety_3,44.98965359386148
Manitoba,7,6,66,Variety_5,96.86306198800598
Manitoba,7,7,67,Variety_2,101.181205724487
Manitoba,7,8,68,Variety_1,199.14393971255825
Manitoba,7,9,69,Variety_5,147.55038815081647
Manitoba,7,10,70,Variety_2,279.9674809111623
Manitoba,8,1,71,Variety_2,208.00725370658256
Manitoba,8,2,72,Variety_5,46.66470405278289
Manitoba,8,3,73,Variety_4,157.74381337193432
Manitoba,8,4,74,Variety_5,128.40105099798586
Manitoba,8,5,75,Variety_1,157.28409934332822
Manitoba,8,6,76,Variety_3,51.368869037750436
Manitoba,8,7,77,Variety_3,221.3167350765063
Manitoba,8,8,78,Variety_3,153.83671079146805
Manitoba,8,9,79,Variety_1,170.8122729348848
Manitoba,8,10,80,Variety_2,234.3293280747528
Manitoba,9,1,81,Variety_1,201.35748522398086
Manitoba,9,2,82,Variety_4,130.20930999400235
Manitoba,9,3,83,Variety_4,162.77729499088395
Manitoba,9,4,84,Variety_5,148.46934999518993
Manitoba,9,5,85,Variety_2,133.95131223458722
Manitoba,9,6,86,Variety_5,202.34550110778443
Manitoba,9,7,87,Variety_1,105.36630460997566
Manitoba,9,8,88,Variety_1,76.84671396874072
Manitoba,9,9,89,Variety_5,224.99620732151297
Manitoba,9,10,90,Variety_4,159.99125516882833
Manitoba,10,1,91,Variety_4,163.70580172949315
Manitoba,10,2,92,Variety_3,129.7612544129315
Manitoba,10,3,93,Variety_4,137.6748291359974
Manitoba,10,4,94,Variety_1,200.28400561297514
Manitoba,10,5,95,Variety_5,157.29819583333187
Manitoba,10,6,96,Variety_3,188.48000012249608
Manitoba,10,7,97,Variety_2,142.85008400362676
Manitoba,10,8,98,Variety_3,152.5644038875039
Manitoba,10,9,99,Variety_3,158.5760157022869
Manitoba,10,10,100,Variety_3,152.90790976856584
